continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
asia,master's,y,n,5000,1997,south,30404.99,year,n,1
asia,doctorate,y,n,2300,1999,northeast,50565.64,year,y,1
asia,bachelor's,y,n,23975,1998,midwest,75849.81,year,y,0
europe,bachelor's,y,y,3538,2008,midwest,1634.39,year,y,1
asia,bachelor's,y,n,2644,2002,midwest,17707.11,year,y,1
asia,bachelor's,n,n,2594,2003,west,83919.41,year,y,1
asia,high school,y,n,2237,2006,south,66076.39,year,y,0
asia,bachelor's,n,n,3267,2001,south,117899.72,year,n,0
asia,master's,y,n,2467,1980,northeast,245785.16,year,y,1
north america,master's,n,n,127,1991,south,123.2997,hour,y,0
asia,bachelor's,n,n,148,2001,northeast,389.766,hour,y,0
asia,master's,y,n,711,2006,northeast,74525.73,year,y,1
europe,master's,y,y,1155,2005,west,152114.69,year,y,1
asia,bachelor's,n,n,2513,1968,west,104507.4,year,y,1
africa,master's,n,n,867,1965,south,286.8984,hour,y,1
north america,doctorate,y,n,4383,2003,northeast,34931.73,year,y,1
asia,master's,n,n,751,1997,midwest,294945.51,year,y,1
oceania,high school,y,n,3674,1950,south,38544.95,year,y,0
north america,bachelor's,n,n,3182,1977,northeast,95796.28,year,y,0
asia,bachelor's,y,n,4688,1997,west,5440.64,year,y,1
asia,master's,n,n,2869,1907,midwest,161270.41,year,y,1
asia,master's,n,y,3263,1963,island,134007.33,year,y,1
asia,master's,n,n,2542,2013,south,125127.24,year,n,1
asia,bachelor's,y,n,1252,2013,northeast,60871.66,year,y,1
europe,doctorate,y,n,3971,1965,west,35780.41,year,y,0
north america,bachelor's,y,n,3367,1966,midwest,27615.79,year,y,1
asia,high school,y,y,190,1873,south,29916.77,year,y,1
europe,master's,n,n,5475,2000,west,79477.72,year,y,1
asia,bachelor's,n,n,509,1839,northeast,131140.5,year,n,0
asia,bachelor's,n,y,3273,2007,west,54473.06,year,y,1
asia,master's,y,n,4801,1977,northeast,8123.95,year,y,0
north america,master's,y,n,5011,1969,midwest,35299.53,year,y,1
north america,bachelor's,n,n,3840,2010,south,126265.26,year,n,1
asia,master's,n,y,2323,2001,west,130876.09,year,y,0
asia,high school,n,n,3309,1981,midwest,23528.29,year,y,1
europe,doctorate,n,n,780,2015,west,27734.43,year,y,1
north america,bachelor's,n,n,338,2006,south,131422.15,year,n,1
asia,master's,n,n,4722,2013,northeast,1862.03,year,y,1
europe,master's,y,y,5342,1919,south,109399.4,year,y,1
asia,master's,y,n,3177,1989,west,89655.93,year,y,1
asia,bachelor's,y,n,838,1992,northeast,63596.73,year,y,1
asia,bachelor's,n,y,908,1997,south,96934.66,year,y,1
asia,bachelor's,y,n,3071,1984,midwest,81977.5,year,y,1
asia,bachelor's,y,n,5098,2002,west,97911.52,year,y,1
asia,master's,y,n,219,1985,west,120509.61,year,n,1
asia,bachelor's,y,n,5246,2004,midwest,138319.21,year,y,0
asia,bachelor's,n,n,4166,1947,northeast,124.97,hour,y,0
europe,master's,n,n,2081,1946,south,763.908,hour,y,0
asia,master's,y,n,3886,2005,midwest,28413.99,year,y,1
asia,bachelor's,y,n,3952,1969,south,33260.72,year,y,1
asia,bachelor's,y,n,130,2004,northeast,26612.64,year,y,0
asia,doctorate,y,y,1701,1997,west,25684.28,year,y,0
asia,master's,n,y,2233,2009,west,54914.53,year,y,1
south america,high school,y,n,4320,1998,northeast,32114.87,year,y,0
asia,high school,y,n,1927,2011,midwest,41388.02,year,y,1
asia,master's,y,n,3652,1998,south,552.6891,hour,y,1
europe,bachelor's,y,n,3081,2012,west,131995.03,year,y,0
asia,master's,y,n,2111,1998,island,61464.44,year,y,1
south america,master's,y,y,47616,2010,northeast,82797.0,year,y,1
europe,master's,y,n,3076,1978,south,56150.67,year,y,1
asia,bachelor's,y,n,874,2007,northeast,53142.76,year,y,1
asia,master's,n,n,5097,1993,northeast,131667.4,year,n,1
north america,high school,y,y,3190,1874,south,87582.84,year,y,1
asia,master's,n,y,134,2000,west,123584.93,year,y,1
asia,bachelor's,y,n,216,2012,south,43000.39,year,y,0
asia,bachelor's,n,n,2079,2010,northeast,138103.17,year,y,0
asia,bachelor's,y,n,1294,1985,south,236692.29,year,y,1
asia,high school,y,n,1065,2011,northeast,36182.96,year,y,1
asia,doctorate,y,n,61171,1987,island,198846.65,year,y,1
asia,master's,y,n,1776,1999,midwest,87959.39,year,y,1
asia,bachelor's,y,n,550,2013,west,118541.58,year,y,1
north america,bachelor's,y,n,16614,1819,midwest,144643.0,year,n,0
north america,master's,y,n,2843,2007,island,52599.33,year,y,0
asia,bachelor's,y,n,2009,2004,midwest,23034.58,year,y,1
asia,master's,n,n,3750,1908,midwest,236184.68,year,n,1
asia,master's,y,n,2763,1987,west,2994.77,year,y,1
asia,bachelor's,y,n,1020,2006,midwest,67631.94,year,y,1
asia,master's,n,n,2357,2004,northeast,89364.58,year,y,1
asia,master's,n,n,2201,1971,west,51343.95,year,y,0
south america,master's,y,n,4421,1999,northeast,3.0031,hour,y,0
asia,master's,y,n,2646,1965,midwest,99154.55,year,y,1
asia,bachelor's,y,y,4834,2006,west,77495.5,year,y,1
asia,bachelor's,y,n,3249,2006,west,48155.94,year,y,1
europe,bachelor's,y,n,1257,1998,northeast,50041.52,year,y,1
asia,master's,n,n,1851,2001,northeast,907.4461,hour,y,1
europe,doctorate,n,n,177,2006,northeast,60568.66,year,y,1
asia,master's,n,n,3212,1869,northeast,93125.7,year,y,0
asia,bachelor's,y,n,5130,1869,northeast,19406.81,year,y,0
asia,bachelor's,y,y,1375,2001,northeast,56771.99,year,y,1
asia,master's,n,n,2961,1999,south,37983.27,year,y,1
europe,doctorate,y,n,693,1986,northeast,9923.03,year,y,1
europe,master's,n,n,70615,1973,west,7834.5,year,y,1
asia,high school,y,n,285,2009,midwest,203711.41,year,y,1
asia,bachelor's,y,n,1289,1988,northeast,16145.79,year,y,1
asia,master's,y,n,2755,1983,midwest,133153.91,year,n,1
asia,master's,y,n,4420,2005,west,61073.64,year,n,1
asia,bachelor's,y,n,2652,2007,northeast,124370.09,year,n,1
europe,master's,n,n,962,2001,northeast,189846.91,year,y,0
asia,bachelor's,n,n,4767,1930,west,95292.12,year,y,1
asia,bachelor's,n,n,2036,1985,west,137390.97,year,y,0
africa,master's,y,n,5696,2006,northeast,93652.64,year,y,1
north america,high school,n,n,1938,2010,northeast,88249.78,year,y,0
asia,master's,y,y,854,2008,northeast,97132.43,year,y,0
europe,master's,y,n,796,1906,west,125481.66,year,y,1
asia,bachelor's,y,n,2453,1885,west,101203.03,year,y,1
asia,bachelor's,y,n,764,1908,midwest,46064.58,year,y,1
asia,doctorate,y,n,1097,1981,south,536.553,hour,y,0
north america,bachelor's,n,n,4678,1988,northeast,135817.09,year,n,0
oceania,bachelor's,y,n,3349,1977,northeast,95162.71,year,y,0
asia,bachelor's,n,n,53,2006,south,46365.05,year,y,1
europe,bachelor's,n,n,164,1971,northeast,37337.68,year,y,0
asia,high school,n,n,1836,1989,northeast,139702.02,year,y,1
asia,bachelor's,y,n,1204,1863,south,55394.4,year,n,1
africa,doctorate,n,n,1785,1905,west,93108.08,year,y,1
asia,master's,n,n,1932,1998,midwest,133719.74,year,y,0
europe,bachelor's,y,n,1489,1997,west,164455.26,year,y,1
asia,high school,y,n,221,2001,midwest,163808.33,year,y,1
europe,doctorate,n,n,3175,1913,west,86969.68,year,y,1
north america,bachelor's,n,n,1665,2005,south,98544.99,year,y,0
asia,master's,n,n,221,2006,west,97077.33,year,y,0
europe,bachelor's,y,y,735,2001,west,34184.04,year,y,1
north america,bachelor's,n,n,1871,1978,northeast,42081.55,year,n,0
europe,master's,n,n,2500,1915,west,49424.43,year,n,1
asia,bachelor's,y,n,5054,1999,midwest,31332.61,year,y,1
north america,bachelor's,y,n,284,1909,west,154163.54,year,y,0
asia,master's,y,n,5421,1884,south,527.097,hour,y,0
asia,high school,y,n,686,2007,midwest,73570.18,year,y,1
asia,master's,n,n,81,1968,south,144540.37,year,y,1
asia,master's,n,y,212,1908,south,57836.71,year,y,1
asia,bachelor's,y,n,1088,2009,midwest,119423.4,year,n,1
europe,high school,y,y,82,1909,west,63472.81,year,y,0
asia,bachelor's,y,n,3072,1900,northeast,47197.07,year,y,1
asia,bachelor's,n,n,1535,2003,west,72438.33,year,y,1
north america,master's,n,n,1632,1847,northeast,159135.69,year,y,1
asia,bachelor's,n,n,141,1858,west,117476.5,year,y,1
asia,master's,y,n,27959,2004,west,138437.36,year,y,1
asia,master's,y,y,1477,1977,west,84928.78,year,y,0
asia,master's,n,n,3811,2008,midwest,49521.94,year,y,0
asia,high school,y,n,1325,2007,midwest,319.498,hour,y,0
asia,bachelor's,n,n,1603,2002,northeast,419.8784,hour,y,0
asia,bachelor's,y,n,2751,2014,south,52361.06,year,y,0
asia,bachelor's,n,n,4989,1990,northeast,122630.54,year,y,0
asia,bachelor's,y,n,135,2012,west,84207.58,year,y,1
asia,bachelor's,n,n,3669,2007,west,159360.28,year,y,1
asia,master's,y,n,4841,2014,northeast,116865.8,year,n,1
asia,high school,y,n,2286,2005,midwest,111076.65,year,y,1
europe,master's,n,n,57288,1981,west,33910.58,year,y,1
asia,high school,y,y,5692,1985,south,26340.01,year,y,0
asia,bachelor's,y,y,460,2004,south,123049.55,year,y,0
asia,high school,y,n,40,1994,south,161411.87,year,y,0
asia,master's,y,n,2326,2005,midwest,43662.44,year,y,1
asia,bachelor's,n,n,4321,1980,midwest,249610.99,year,y,1
europe,master's,y,n,920,2004,northeast,524.76,year,y,1
europe,doctorate,n,y,1217,1988,south,9049.63,year,y,1
asia,bachelor's,n,n,5436,2006,south,97035.6,year,y,1
north america,bachelor's,n,n,5586,1850,northeast,461.6923,hour,y,1
south america,master's,y,y,985,2009,south,75048.11,year,y,1
asia,master's,y,n,3664,1987,south,75498.54,year,y,1
asia,doctorate,n,n,4008,1995,midwest,156240.97,year,y,1
europe,doctorate,y,n,373353,1977,south,28248.56,year,y,1
north america,bachelor's,y,n,1320,2002,west,56963.64,year,y,0
south america,master's,y,n,3330,1991,northeast,455.4029,hour,y,0
europe,bachelor's,y,n,2936,2001,west,151466.23,year,y,1
asia,bachelor's,n,n,627,2012,south,118010.07,year,n,0
europe,bachelor's,n,n,13510,1836,northeast,53745.53,year,y,1
europe,doctorate,y,n,35719,2013,west,1075.92,year,y,1
asia,high school,n,n,1443,2004,south,257775.44,year,y,1
asia,bachelor's,y,n,1913,2005,midwest,77139.26,year,n,0
asia,high school,n,n,3325,2013,northeast,92457.34,year,n,0
asia,high school,n,n,891,1997,midwest,130069.92,year,y,1
asia,high school,y,n,3738,2002,midwest,36546.32,year,y,1
europe,bachelor's,y,n,2915,1968,west,67610.02,year,y,1
north america,high school,y,n,223,1999,northeast,13540.73,year,y,0
asia,master's,n,n,3353,1979,south,172098.04,year,y,1
asia,bachelor's,y,n,4661,1928,west,99455.96,year,y,1
europe,doctorate,y,n,1088,2001,northeast,127960.51,year,y,1
asia,bachelor's,n,n,24518,1962,west,103394.96,year,y,1
south america,high school,y,n,3245,2009,northeast,63593.05,year,y,1
asia,bachelor's,y,n,3194,1944,northeast,60333.82,year,y,1
asia,bachelor's,y,n,5031,1987,south,95172.55,year,n,0
asia,bachelor's,n,n,1169,1999,west,47323.8,year,y,0
north america,doctorate,y,y,4464,1984,northeast,239224.53,year,y,1
asia,bachelor's,y,n,597,2009,south,80102.69,year,n,1
asia,master's,n,y,1526,2013,northeast,66523.43,year,y,1
europe,doctorate,n,n,3330,2010,west,35952.16,year,y,1
north america,master's,n,n,1819,1986,south,130465.35,year,n,0
asia,bachelor's,y,n,1566,2006,west,109351.99,year,y,1
asia,bachelor's,y,n,1559,2013,midwest,74605.65,year,y,0
asia,bachelor's,y,n,3705,2005,northeast,62359.2,year,y,1
europe,master's,n,n,42,2009,west,128952.12,year,y,0
north america,master's,n,n,587,2007,south,177119.9,year,y,0
north america,master's,n,n,1351,1970,island,95330.07,year,y,1
south america,master's,y,n,1897,2008,west,73216.32,year,y,0
asia,bachelor's,y,n,1531,2004,northeast,221524.92,year,y,1
asia,master's,y,n,977,1997,northeast,74149.97,year,n,0
north america,master's,y,n,3103,1838,northeast,86385.21,year,n,0
asia,high school,n,n,4011,2005,midwest,85140.32,year,y,1
north america,bachelor's,y,n,3936,1989,south,105288.48,year,y,1
africa,master's,y,n,2554,1992,midwest,130385.72,year,y,1
north america,master's,n,n,1380,1998,south,254015.02,year,n,1
asia,bachelor's,y,n,153,2000,midwest,114277.01,year,y,1
asia,master's,y,n,12769,2009,west,46620.2,year,y,1
asia,bachelor's,y,n,2727,2003,south,133047.28,year,y,1
asia,bachelor's,y,n,4355,2001,northeast,25828.57,year,y,1
south america,bachelor's,n,n,317,1995,northeast,40784.62,year,y,0
asia,master's,n,n,54,1947,south,109.0,hour,y,0
europe,doctorate,n,n,836,2009,west,26747.59,year,y,1
asia,bachelor's,y,n,3820,2004,northeast,984.8595,hour,y,1
north america,bachelor's,y,n,81392,2010,south,86051.49,year,y,1
asia,bachelor's,y,n,562,2003,south,162892.64,year,y,0
north america,doctorate,y,n,438,1999,west,133238.32,year,y,1
asia,bachelor's,n,n,4498,1977,south,781.1354,hour,y,0
asia,bachelor's,y,n,2527,1984,west,99965.81,year,y,0
asia,bachelor's,n,n,2811,2001,northeast,492.9138,hour,y,0
asia,doctorate,y,n,1991,1910,south,112096.79,year,y,1
asia,master's,n,n,108,1915,midwest,79271.93,year,y,1
asia,bachelor's,y,n,452,2004,south,86668.71,year,y,1
asia,master's,n,y,839,2005,west,10814.15,year,y,1
asia,master's,y,n,1074,2005,northeast,61195.57,year,y,1
europe,master's,y,y,4143,1931,south,77659.1,year,y,1
europe,bachelor's,y,n,3132,2013,northeast,41828.03,year,y,1
asia,master's,n,n,1809,2001,west,141.72,hour,y,0
europe,master's,n,n,33466,2007,west,198781.53,year,y,1
asia,master's,n,n,2334,2004,south,72708.19,year,y,1
asia,master's,y,n,745,1975,northeast,74659.94,year,y,0
asia,master's,n,n,1115,1999,midwest,281344.22,year,y,1
europe,master's,n,n,1080,1989,northeast,74799.0,year,y,1
asia,master's,y,n,4372,2004,northeast,128.12,hour,y,0
asia,master's,n,n,444,1993,midwest,91268.06,year,y,0
asia,bachelor's,y,n,2678,1961,west,139671.17,year,y,0
europe,bachelor's,y,y,1442,2000,midwest,106875.36,year,y,1
south america,doctorate,n,y,516,2005,south,145878.28,year,y,1
north america,master's,y,n,1206,1879,northeast,121469.58,year,n,1
north america,bachelor's,y,n,3408,1974,northeast,64424.7,year,y,0
asia,master's,y,n,1329,1935,midwest,81479.18,year,y,1
north america,doctorate,y,n,1444,2002,midwest,60411.22,year,y,1
asia,master's,y,n,336,1968,south,100959.43,year,y,1
asia,bachelor's,n,n,4291,1998,west,48721.35,year,y,1
north america,doctorate,y,n,2842,1992,west,18833.31,year,y,1
asia,master's,n,n,3065,2009,northeast,78121.63,year,y,0
asia,bachelor's,n,n,1554,1969,west,52579.57,year,n,0
asia,master's,n,n,3150,1948,midwest,62714.24,year,y,1
north america,master's,y,n,1989,1969,south,34518.25,year,n,1
asia,master's,n,n,906,1947,northeast,123.44,hour,y,0
asia,bachelor's,y,n,1909,1858,south,102148.46,year,y,1
asia,master's,y,y,2219,2001,south,161172.56,year,y,1
asia,high school,n,n,1469,2006,west,68269.08,year,y,0
asia,bachelor's,n,n,2932,2007,midwest,45797.89,year,n,1
asia,master's,n,n,328,2007,midwest,18268.44,year,y,1
asia,bachelor's,y,n,2232,1998,west,46875.14,year,y,1
asia,bachelor's,y,n,4392,2009,south,58047.86,year,y,0
asia,high school,y,n,2461,2004,northeast,41096.99,year,y,1
africa,master's,y,n,348,2009,midwest,31106.89,year,y,1
asia,high school,y,n,4712,1971,south,59780.53,year,y,1
asia,master's,y,n,3533,2007,west,34009.78,year,y,1
asia,high school,y,n,5377,2006,northeast,123940.77,year,y,1
asia,master's,n,n,12590,1998,south,297589.88,year,y,1
north america,bachelor's,y,n,1400,2005,west,737.2313,hour,y,0
asia,master's,n,n,78,2006,northeast,81603.52,year,n,1
north america,master's,y,n,4318,2001,northeast,6412.75,year,y,1
north america,bachelor's,y,n,2827,2004,midwest,11686.84,year,y,0
asia,bachelor's,y,n,628,1972,west,94057.99,year,y,0
asia,bachelor's,n,n,3720,1858,west,64994.93,year,y,1
europe,doctorate,y,n,3658,2012,northeast,45679.27,year,y,1
asia,master's,y,n,2055,1978,midwest,109808.24,year,y,1
asia,master's,y,n,2565,1956,northeast,42539.3,year,n,0
europe,master's,y,y,2020,2005,west,7573.41,year,y,1
asia,bachelor's,y,n,1264,1977,west,11661.02,year,y,1
north america,bachelor's,n,n,1142,2007,west,871.2201,hour,y,1
north america,high school,n,n,622,1987,west,302.2604,hour,y,1
asia,bachelor's,y,n,567,1992,midwest,26842.91,year,y,1
north america,master's,y,n,34109,1999,west,43891.95,year,y,1
asia,bachelor's,y,n,1189,1999,northeast,19897.93,year,y,1
asia,master's,n,n,962,1996,midwest,43222.66,year,y,1
asia,master's,y,n,1147,1995,south,68007.36,year,y,1
europe,bachelor's,y,n,1787,1998,west,112839.76,year,y,1
asia,doctorate,y,n,1620,2013,midwest,27862.35,year,y,1
europe,master's,y,n,1091,1915,midwest,62092.68,year,y,1
asia,bachelor's,y,n,3692,2002,south,84853.35,year,y,1
asia,master's,n,n,2918,2005,south,43275.78,year,y,0
north america,master's,n,n,1655,1978,south,46837.19,year,n,1
asia,master's,n,n,606,2009,west,86507.85,year,y,1
asia,bachelor's,y,n,2821,1997,northeast,47210.93,year,y,0
europe,master's,n,n,1977,2001,west,44358.41,year,y,1
asia,bachelor's,y,n,1962,2000,south,80565.69,year,y,1
north america,bachelor's,y,n,2381,1981,northeast,98.6015,hour,n,0
north america,bachelor's,y,n,-17,2007,northeast,129753.18,year,y,0
asia,master's,y,n,120,1990,west,40541.2,year,y,1
asia,master's,y,n,1497,1895,south,21349.41,year,y,1
asia,master's,n,n,1564,1963,midwest,174246.98,year,y,0
europe,high school,y,n,67735,1997,northeast,23541.77,year,y,0
asia,master's,y,n,3988,2001,midwest,109738.49,year,n,0
asia,master's,y,n,2469,1851,south,150648.75,year,n,0
asia,bachelor's,y,n,4530,1997,midwest,20414.23,year,y,1
asia,doctorate,n,y,1850,1999,south,127273.02,year,y,1
north america,bachelor's,n,n,237,1966,west,109814.84,year,n,0
asia,high school,y,n,25091,2000,west,52565.45,year,y,1
asia,high school,n,n,2577,2006,midwest,84761.85,year,y,1
asia,bachelor's,n,n,3397,2007,west,134074.52,year,y,1
asia,high school,y,n,1121,2009,south,32232.48,year,y,1
asia,master's,y,n,1690,2005,midwest,66979.3,year,y,1
europe,master's,n,y,765,1979,south,32831.76,year,y,1
asia,high school,y,y,1534,2004,island,66211.81,year,y,1
south america,bachelor's,y,n,855,1960,northeast,235.23,hour,y,0
asia,bachelor's,n,n,2181,2011,northeast,215001.34,year,y,1
asia,master's,y,n,3891,1996,west,921.31,year,y,0
south america,master's,n,y,5306,1999,northeast,148866.35,year,y,1
asia,master's,n,n,3669,2004,west,86136.52,year,y,1
asia,high school,n,n,1762,2001,northeast,238.8305,hour,y,1
north america,master's,n,n,4100,1848,west,195956.75,year,n,1
europe,doctorate,n,n,1701,2003,west,60059.97,year,y,1
asia,bachelor's,y,n,1146,2005,south,65890.04,year,y,1
europe,master's,y,n,227,2013,west,76643.93,year,y,1
north america,master's,y,n,89179,1971,northeast,62666.11,year,y,1
asia,master's,n,n,538,1999,midwest,109181.07,year,y,1
asia,bachelor's,y,y,1939,1982,northeast,155856.29,year,y,1
asia,bachelor's,y,n,2503,2007,west,111651.49,year,y,0
north america,bachelor's,y,n,4479,1897,south,81084.06,year,y,1
europe,master's,n,n,2243,2005,northeast,741.6666,hour,y,0
asia,bachelor's,n,y,3392,1995,south,130750.12,year,y,1
north america,master's,y,n,817,2013,midwest,80653.36,year,y,1
europe,doctorate,n,n,964,2011,west,64172.45,year,y,1
asia,bachelor's,y,n,1828,1940,northeast,806.5105,hour,y,0
asia,high school,y,n,2141,2011,west,32652.96,year,y,0
north america,master's,n,n,3724,2001,south,100511.88,year,n,1
asia,master's,n,n,1216,1997,west,346.575,hour,y,0
asia,high school,y,n,921,2003,south,42212.85,year,y,1
asia,master's,y,n,1154,1919,south,35802.6,year,n,1
europe,bachelor's,n,n,2630,2002,west,106730.53,year,y,1
asia,bachelor's,n,n,3134,1945,south,673.6424,hour,y,0
asia,master's,n,n,3386,1975,midwest,95357.0,year,y,1
asia,bachelor's,n,n,1860,2010,midwest,142852.07,year,y,1
asia,bachelor's,n,n,531,2009,west,104416.31,year,y,1
asia,bachelor's,n,n,603,1996,northeast,559.5928,hour,y,0
north america,master's,n,n,2608,2004,northeast,61848.74,year,y,1
asia,bachelor's,y,n,3193,1998,northeast,221595.07,year,n,0
asia,master's,y,n,2647,1981,island,29112.44,year,y,1
asia,doctorate,n,n,3092,1985,west,674.1029,hour,y,0
europe,bachelor's,y,y,2942,1947,west,64787.02,year,y,1
asia,high school,y,n,1361,1847,northeast,123918.91,year,y,1
europe,master's,n,y,4378,1983,west,50.0723,hour,y,0
asia,master's,y,n,3750,1992,west,104989.15,year,n,1
north america,master's,y,n,2837,1855,south,18540.94,year,y,1
asia,master's,y,n,3084,1838,midwest,129697.07,year,y,1
asia,bachelor's,y,n,933,1872,northeast,77203.14,year,y,1
asia,master's,n,n,1913,2005,northeast,212457.11,year,n,1
africa,master's,y,n,5533,1999,northeast,133828.65,year,y,1
asia,bachelor's,y,n,2158,1996,midwest,93059.03,year,y,0
asia,master's,n,n,4409,2006,south,70589.21,year,y,1
asia,bachelor's,n,n,4243,1998,midwest,26733.56,year,y,0
asia,master's,n,n,3545,1971,west,156966.64,year,n,1
asia,high school,n,n,941,1992,south,602.1622,hour,y,0
asia,bachelor's,y,n,177,1994,south,156350.9,year,y,0
asia,bachelor's,n,n,520,1999,northeast,771.6902,hour,y,0
europe,high school,y,n,3338,1988,northeast,10405.83,year,n,0
asia,bachelor's,n,n,368,1991,northeast,98420.33,year,y,0
asia,bachelor's,y,y,2781,1985,island,1985.3,year,y,0
north america,bachelor's,y,n,4612,1984,west,43224.09,year,y,1
asia,bachelor's,y,n,3095,2001,south,138636.86,year,y,1
asia,doctorate,n,n,2561,2005,northeast,82552.49,year,y,0
asia,bachelor's,n,n,150,1998,northeast,25540.46,year,y,0
asia,high school,n,n,1770,1869,northeast,87168.26,year,y,1
asia,master's,n,y,69,1998,west,133720.55,year,y,1
europe,bachelor's,n,n,550,2008,west,109752.6,year,y,0
asia,bachelor's,n,n,2210,2001,northeast,977.4751,hour,y,1
asia,master's,y,n,548,1993,northeast,71703.66,year,y,1
asia,master's,n,y,3706,1987,south,41526.35,year,y,1
asia,master's,y,n,1295,1987,south,92362.64,year,y,1
asia,master's,y,y,3048,1911,south,73102.79,year,y,1
asia,master's,y,n,1569,2005,midwest,72620.96,year,y,1
asia,doctorate,y,n,2799,1999,northeast,13671.18,year,y,1
asia,bachelor's,n,n,237,2016,northeast,83780.23,year,y,0
asia,doctorate,y,n,4811,1989,northeast,31744.55,year,y,1
asia,bachelor's,n,n,5460,1979,northeast,68115.66,year,y,0
asia,high school,n,n,1034,2005,northeast,210.7526,hour,y,0
asia,bachelor's,n,y,3225,2007,west,102087.87,year,y,0
asia,bachelor's,y,n,100460,2007,south,46899.63,year,y,1
north america,master's,y,n,1213,1989,south,84729.79,week,y,1
europe,master's,n,n,3490,2010,south,227.114,hour,y,1
asia,master's,y,n,5610,2005,west,14384.21,year,y,1
asia,master's,n,n,11444,2013,midwest,481.3452,hour,y,1
europe,master's,n,n,1898,2011,west,105185.29,year,y,1
asia,master's,y,n,1687,2010,northeast,90666.71,year,y,0
asia,master's,y,n,170,1965,south,82388.91,year,y,1
asia,high school,n,n,1560,1987,northeast,171921.87,year,n,0
north america,bachelor's,n,n,2794,2012,northeast,56718.33,year,y,1
europe,bachelor's,y,n,1458,1963,northeast,63556.94,year,y,0
north america,bachelor's,y,n,3808,1997,northeast,76253.83,year,y,0
asia,bachelor's,n,y,2601,1999,south,117828.92,year,y,1
asia,master's,n,n,1222,1994,northeast,80774.15,year,y,1
asia,master's,y,n,1157,2001,midwest,115332.68,year,y,1
europe,bachelor's,y,n,3776,2010,south,9188.44,year,y,1
asia,bachelor's,y,n,2964,1995,west,131836.07,year,y,0
europe,master's,y,n,2067,2007,west,107232.05,year,y,1
asia,master's,n,n,4755,1973,northeast,98104.37,year,n,1
north america,bachelor's,y,n,1838,1902,south,842.1034,hour,y,0
asia,master's,n,y,15634,1858,west,76805.27,year,y,1
south america,bachelor's,y,n,1143,1969,northeast,72247.58,year,n,0
north america,master's,y,n,1911,1888,west,126517.52,year,n,1
asia,master's,n,n,2309,2004,northeast,151380.94,year,y,1
asia,bachelor's,n,y,993,1985,northeast,143583.18,year,y,1
asia,doctorate,n,n,1855,2003,northeast,30672.78,year,y,1
europe,doctorate,n,n,1758,1990,midwest,19196.84,year,y,1
europe,bachelor's,n,n,3538,2005,northeast,79632.64,year,y,1
asia,master's,n,y,1533,2004,south,200914.45,year,y,1
asia,master's,y,n,3427,1885,northeast,71170.04,year,y,0
europe,bachelor's,y,y,404,1970,west,53546.52,year,y,1
north america,high school,y,n,4550,1945,northeast,7956.54,year,y,0
europe,bachelor's,y,y,740,1972,west,40647.39,year,n,1
asia,high school,y,n,2155,1968,northeast,7489.24,year,y,1
oceania,high school,n,n,1451,2010,south,51840.67,year,y,0
asia,master's,n,n,1625,2004,west,132770.9,year,y,1
north america,master's,y,n,5021,1965,midwest,84190.74,year,n,0
asia,high school,n,n,637,1968,midwest,51159.39,year,y,1
north america,high school,n,n,16832,1977,northeast,145395.19,year,y,1
asia,master's,y,n,92,1996,south,9132.93,year,y,1
asia,master's,n,n,741,1998,south,25621.98,year,y,1
asia,master's,n,y,1834,1999,west,592.9008,hour,y,0
europe,master's,n,n,838,1994,west,78409.22,year,y,1
north america,master's,y,y,4168,2010,south,38374.43,year,y,1
north america,bachelor's,y,n,1167,2009,northeast,87751.88,week,y,1
asia,bachelor's,n,n,3443,1987,west,226169.32,year,y,0
north america,master's,y,n,2991,1932,west,102446.51,year,n,1
asia,master's,n,n,2669,2005,midwest,119331.66,year,y,1
asia,high school,y,n,4530,1994,northeast,72071.55,year,y,1
asia,master's,y,n,20890,1978,northeast,23656.43,month,y,1
asia,master's,n,n,1170,2007,west,89836.87,year,n,0
europe,doctorate,y,n,231,2004,west,160059.06,year,y,1
asia,bachelor's,n,y,64,1989,northeast,202743.02,year,y,0
africa,master's,n,n,2189,1987,west,122590.93,year,y,0
asia,master's,n,n,2698,1995,northeast,156872.53,year,n,1
north america,master's,n,n,3134,1999,south,37550.56,year,n,0
asia,doctorate,y,n,570,2000,west,89685.11,year,y,0
europe,master's,n,n,5862,2013,northeast,69954.39,year,y,1
asia,master's,y,y,929,2013,south,169104.93,year,y,1
asia,master's,y,n,1533,1968,northeast,59946.02,year,y,1
asia,master's,n,n,2750,2012,west,78994.7,year,y,0
asia,master's,n,n,14526,2006,midwest,110294.35,year,y,0
asia,bachelor's,n,n,1746,1997,midwest,140257.4,year,y,1
asia,bachelor's,n,n,3925,1838,northeast,112376.07,year,y,0
asia,bachelor's,n,n,1658,1999,south,693.8824,hour,y,0
south america,bachelor's,n,n,219,1917,west,850.2,hour,y,0
asia,high school,n,y,710,1984,midwest,47720.44,year,y,0
europe,master's,y,n,4548,2001,south,67891.84,year,y,1
europe,bachelor's,y,n,3881,2012,south,36207.87,year,y,1
europe,master's,y,n,196058,2001,west,30419.62,year,y,1
asia,bachelor's,n,n,2225,1855,northeast,51836.31,year,y,0
